"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","5","0","0","2038","16","11","0"
"East Jaintia Hills","2","0","0","2601","37","5","0"
"East Khasi Hills","3","13","1","47018","1071","40","15"
"Eastern West Khasi Hills","0","1","0","139","8","1","0"
"North Garo Hills","9","2","0","1875","9","22","1"
"Ri-Bhoi","3","2","0","10282","96","29","2"
"South Garo Hills","0","0","0","1336","12","4","0"
"South West Garo Hills","0","0","0","2086","20","6","0"
"South West Khasi Hills","0","0","0","2689","19","9","0"
"West Garo Hills","2","2","0","10687","79","12","0"
"West Jaintia Hills","4","3","0","7158","139","13","2"
"West Khasi Hills","2","0","0","5637","75","12","0"
"Total","30","23","1","93546","1581","164","20"
