"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","263","1122429","1","19644"
"2","Thane","15","120101","0","2289"
"3","TMC","30","199000","1","2177"
"4","Navi Mumbai","44","176267","0","2093"
"5","KDMC","12","178900","1","2978"
"6","Ulhasnagar MC","2","26970","0","685"
"7","Bhivandi Nijampur MC","1","13304","0","496"
"8","Mira Bhayandar MC","4","78908","0","1231"
"9","Palghar","13","65355","0","1244"
"10","Vasai Virar MC","11","101579","0","2174"
"11","Raigad","46","142439","1","3474"
"12","Panvel MC","18","109918","0","1483"
"","Mumbai circle total","459","2335170","4","39968"
"13","Nashik","36","184966","0","3816"
"14","Nashik MC","59","279853","0","4754"
"15","Malegaon MC","0","11088","0","345"
